GROUP,PACKAGE,CLASS,INSTRUCTION_MISSED,INSTRUCTION_COVERED,BRANCH_MISSED,BRANCH_COVERED,LINE_MISSED,LINE_COVERED,COMPLEXITY_MISSED,COMPLEXITY_COVERED,METHOD_MISSED,METHOD_COVERED
spring-boot-jpa-h2,com.bezkoder.spring.jpa.h2.model,Tutorial,51,15,0,0,11,7,8,2,8,2
spring-boot-jpa-h2,com.bezkoder.spring.jpa.h2,SpringBootJpaH2Application,5,3,0,0,2,1,1,1,1,1
spring-boot-jpa-h2,com.bezkoder.spring.jpa.h2.controller,TutorialController,174,14,9,1,37,5,11,2,6,2
